34;;En Linux que comando permite sacar por pantalla un listado completo de los procesos que está realizando el usuario root;ps -U root -u root u;ps root;ps -U -a root;ps -U root -f root -r root
35;;En Linux que comando permite sacar por pantalla el listado de todos los usuarios conectados ordenados por número de proceso asignado;ps axu;ps -a -u;ps -a -u -o;ls ps -auo
35;;En Linux que comando permite mostrar cuantos usuarios hay conectados;who -q;who -u;who ls -a;who -u -r
35;;En Linux que comando permite calcular la firma md5 del archivo good;md5sum good;md5 [good];md5hasj good;md5sig -f good
36;;En Linux que comando permite monitorear la ocupación de las particiones en los discos;df -lh;pf -l;ls -d;lf ls -l
37;;En el sistema de permisos de linux a que equivale el 4 en formato octal;r--=100;-w-=010;--x=001;rwx=111
37;;En el sistema de permisos de linux a que equivale el 755;u=rwx,g=rx,o=rx;u=rwx,g=rwx,o=rwx;u=rx,g=rwx,o=rwx;u=rx,g=rx,o=rx
38;;En Windows que comando permite mostrar todas las cuentas de usuario;net user;get users;usernet *; net user *
38;;En Windows que comando permite eliminar a un usuario usuarioA;net user usuarioA /delete;delete user usuarioA;net -delete user usuarioA;net usuarioA -delete
39;;En Windows desde que parte de la configuración se puede cambiar el nombre del equipo;Propiedades del sistema;Protección del sistema;Administrador de dispositivos;Ventana de control
39;;En Windows que comando nos da el nombre del equipo;hostname;desktopname;mipc -name;comand -¿Como te llamas ordenador?
40;;En Windows con que comando se corresponde el administrador de tareas;taskmgr;cd;administrator;tasks
40;;En Windows que comando nos permitiria detener una tarea conociendo que tiene el PID 3012;taskkill /PID 3012;delete -3012;task -stop -p 3012;stopTask 3012
40;;En Windows los procesos que se pueden ejecutar en segundo plano se llaman...;servicios;visores;monitores;registros
40;;En Windows que herramienta nos permite programar tareas;Programador de tareas;Monitor de tareas;Visor de tareas;Windows Defender
41;;En Windows dónde podemos encontrar el programador de tareas;Herramientas administrativas;Barra de tareas;Programas y características;Opciones de Internet
41;;En Windows dónde podemos encontrar las variables de entorno;Herramientas administrativas;Configuración avanzada del sistema;En C;En Protección del sistema
42;;En Windows que comando debemos ejecutar para abrir el registro;regedit;register;start register;cd ///register
42;;En Windows en que lugar se recoge toda la información sobre el sistema, programas instalados, hardware, usuarios, etc.;registro;winlog;ram;msconfig
42;;En Windows que directorio del registro tiene los datos sobre la configuración del usuario actual.;HKEY_CURRENT_USER;HKEY_USER;HKEY_CURRENT_CONFIG;HKEY_LOCAL_USER
42;;En Windows que directorio del registro tiene los datos sobre el equipo y el sistema operativo.;HKEY_LOCAL_MACHINE;HKEY_COMPUTER;HKEY_CURRENT_CONFIG;HKEY_LOCAL_COMPUTER
42;;En Windows que directorio del registro tiene los datos sobre el hardware instalado y su configuración.;HKEY_LOCAL_CONFIG;HKEY_HARDWARE;HKEY_CURRENT_HADWARE;HKEY_LOCAL_MACHINE
